ds;y
2017-06-09;7757
2017-06-10;462
2017-06-11;366
2017-06-12;577
2017-06-13;9466
2017-06-14;9695
2017-06-15;9483
2017-06-16;7542
2017-06-17;477
2017-06-18;350
2017-06-19;8093
2017-06-20;8966
2017-06-21;9027
2017-06-22;8671
2017-06-23;7924
2017-06-24;493
2017-06-25;436
2017-06-26;8605
2017-06-27;9708
2017-06-28;9442
2017-06-29;9215
2017-06-30;8288
2017-07-01;644
2017-07-02;463
2017-07-03;9268
2017-07-04;10267
2017-07-05;10308
2017-07-06;10459
2017-07-07;9773
2017-07-08;691
2017-07-09;597
2017-07-10;11047
2017-07-11;11449
2017-07-12;11168
2017-07-13;10901
2017-07-14;10486
2017-07-15;777
2017-07-16;607
2017-07-17;11173
2017-07-18;10921
2017-07-19;10943
2017-07-20;10917
2017-07-21;8899
2017-07-22;575
2017-07-23;560
2017-07-24;10832
2017-07-25;12483
2017-07-26;7974
2017-07-27;7977
2017-07-28;7036
2017-07-29;361
2017-07-30;347
2017-07-31;7639
2017-08-01;7207
2017-08-02;7074
2017-08-03;7243
2017-08-04;6234
2017-08-05;388
2017-08-06;294
2017-08-07;7346
2017-08-08;7174
2017-08-09;7527
2017-08-10;7196
2017-08-11;6302
2017-08-12;393
2017-08-13;299
2017-08-14;7653
2017-08-15;7682
2017-08-16;6570
2017-08-17;6395
2017-08-18;5796
2017-08-19;316
2017-08-20;285
2017-08-21;7159
2017-08-22;7546
2017-08-23;7141
2017-08-24;7279
2017-08-25;6442
2017-08-26;305
2017-08-27;271
2017-08-28;7203
2017-08-29;7346
2017-08-30;7133
2017-08-31;6794
2017-09-01;5873
2017-09-02;350
2017-09-03;348
2017-09-04;7799
2017-09-05;8326
2017-09-06;8479
2017-09-07;8602
2017-09-08;7388
2017-09-09;468
2017-09-10;358
2017-09-11;8864
2017-09-12;8871
2017-09-13;9014
2017-09-14;8724
2017-09-15;8313
2017-09-16;307
2017-09-17;275
2017-09-18;7811
2017-09-19;7468
2017-09-20;7723
2017-09-21;7859
2017-09-22;6708
2017-09-23;414
2017-09-24;314
2017-09-25;7737
2017-09-26;8350
2017-09-27;8714
2017-09-28;8444
2017-09-29;7699
2017-09-30;429
2017-10-01;428
2017-10-02;9418
2017-10-03;9717
2017-10-04;9958
2017-10-05;10146
2017-10-06;9478
2017-10-07;636
2017-10-08;547
2017-10-09;10804
2017-10-10;10845
2017-10-11;10629
2017-10-12;11381
2017-10-13;10745
2017-10-14;732
2017-10-15;575
2017-10-16;11778
2017-10-17;10754
2017-10-18;11904
2017-10-19;10919
2017-10-20;11666
2017-10-21;646
2017-10-22;559
2017-10-23;10550
